time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,year
2015-01-01,27.0,20.2,23.4,31.8,22.2,26.3,2015-01-01T04:47,2015-01-01T19:09,51701.08,48474.35,0.0,0.0,0.0,0.0,17.3,37.4,59,29.62,5.48,2015
2015-01-02,26.7,21.0,23.2,30.6,22.5,26.1,2015-01-02T04:48,2015-01-02T19:09,51668.0,24758.28,0.0,0.0,0.0,0.0,16.0,34.6,140,20.24,3.91,2015
2015-01-03,27.4,21.5,24.0,32.4,25.4,27.5,2015-01-03T04:49,2015-01-03T19:09,51631.56,44821.78,0.0,0.0,0.0,0.0,21.1,45.4,52,28.44,5.3,2015
2015-01-04,29.2,21.0,24.6,35.4,22.2,28.1,2015-01-04T04:49,2015-01-04T19:09,51591.87,41183.68,10.2,10.2,0.0,5.0,21.9,46.8,95,26.66,5.37,2015
2015-01-05,23.6,20.6,21.9,25.6,21.3,23.7,2015-01-05T04:50,2015-01-05T19:09,51549.03,8040.91,0.5,0.5,0.0,4.0,16.8,32.0,150,10.44,2.37,2015
2015-01-06,25.5,19.5,22.9,28.9,21.9,25.5,2015-01-06T04:51,2015-01-06T19:09,51503.12,47475.68,1.4,1.4,0.0,8.0,14.9,33.5,111,24.95,4.65,2015
2015-01-07,26.7,21.4,23.7,29.6,22.8,25.9,2015-01-07T04:52,2015-01-07T19:09,51454.26,48248.45,0.0,0.0,0.0,0.0,21.7,45.4,53,29.22,5.62,2015
2015-01-08,26.7,20.1,23.3,29.3,21.8,25.0,2015-01-08T04:53,2015-01-08T19:09,51402.53,48200.93,0.0,0.0,0.0,0.0,21.3,45.0,47,32.07,6.11,2015
2015-01-09,27.7,21.5,24.5,31.8,24.6,27.8,2015-01-09T04:54,2015-01-09T19:09,51348.04,46359.53,0.3,0.3,0.0,3.0,15.8,37.8,48,24.49,4.81,2015
2015-01-10,27.1,22.2,24.2,30.7,24.6,27.9,2015-01-10T04:54,2015-01-10T19:09,51290.89,29854.17,11.0,11.0,0.0,8.0,14.2,25.2,121,16.66,3.35,2015
